# E          s-dos       p-dos       d-dos       f-dos
-9.0000e-01  8.4147e-07  5.4495e-05  2.5636e-04  3.2272e-05
-8.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-5.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-4.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-3.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-2.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-1.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
1.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
2.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
3.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
4.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
5.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
6.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
7.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
8.0000e-01  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
9.0000e-01  0.0000e+00  0.0000e+00  4.9076e-04  1.9542e-09
1.0000e+00  1.7487e-08  3.6906e-06  4.0276e-02  3.4487e-06
1.1000e+00  8.1769e-07  7.2290e-05  2.5540e-01  3.8519e-05
1.2000e+00  7.8766e-06  4.4372e-04  8.1018e-01  1.6371e-04
1.3000e+00  4.5186e-05  1.8191e-03  1.9441e+00  4.7862e-04
1.4000e+00  1.7682e-04  5.1226e-03  3.6301e+00  1.0527e-03
1.5000e+00  5.0887e-04  1.0767e-02  5.8340e+00  1.9328e-03
1.6000e+00  1.3066e-03  2.1164e-02  9.3295e+00  3.2674e-03
1.7000e+00  3.7036e-03  4.4342e-02  1.6913e+01  5.9640e-03
1.8000e+00  1.6944e-02  1.0041e-01  3.4431e+01  1.3583e-02
1.9000e+00  5.4681e-02  1.7037e-01  6.1702e+01  2.6005e-02
2.0000e+00  1.0290e-01  2.1713e-01  8.1950e+01  3.7824e-02
2.1000e+00  1.6458e-01  2.1073e-01  8.5314e+01  4.2607e-02
2.2000e+00  1.5513e-01  1.8370e-01  6.7950e+01  3.6312e-02
2.3000e+00  2.2101e-01  2.5078e-01  8.7737e+01  4.3942e-02
2.4000e+00  2.9504e-01  3.6919e-01  1.0866e+02  5.9881e-02
2.5000e+00  3.5240e-01  4.1357e-01  1.1832e+02  6.6817e-02
2.6000e+00  2.5151e-01  3.4225e-01  7.8495e+01  5.4239e-02
2.7000e+00  1.1451e-01  2.7414e-01  4.7079e+01  3.8611e-02
2.8000e+00  3.5140e-02  2.1930e-01  3.2217e+01  3.5163e-02
2.9000e+00  2.8392e-02  1.9660e-01  3.5392e+01  4.2556e-02
3.0000e+00  2.6618e-02  1.5369e-01  3.8574e+01  5.2926e-02
3.1000e+00  2.8808e-02  1.6277e-01  4.6155e+01  6.4183e-02
3.2000e+00  2.5703e-02  1.6360e-01  5.3205e+01  6.5270e-02
3.3000e+00  1.7607e-02  1.0731e-01  4.5194e+01  4.6272e-02
3.4000e+00  9.7614e-03  5.9147e-02  3.5209e+01  2.7201e-02
